system:index,Area_km2,District,Grid_ID,mean,.geo
"00010000000000001803_1867,602",20.113434569303458,Deoria,GRID_000001,0.33067111110311176,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:3857""}},""type"":""Polygon"",""coordinates"":[[[9335000.0,3010000.0],[9340000.0,3010000.0],[9340000.0,3015000.0],[9335000.0,3015000.0],[9335000.0,3010000.0]]]}"
"00010000000000001803_1868,602",20.113434569302623,Deoria,GRID_000002,0.2540167799019401,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:3857""}},""type"":""Polygon"",""coordinates"":[[[9340000.0,3010000.0],[9345000.0,3010000.0],[9345000.0,3015000.0],[9340000.0,3015000.0],[9340000.0,3010000.0]]]}"
"00010000000000001803_1869,602",20.11343456930915,Deoria,GRID_000003,0.2853573934072935,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:3857""}},""type"":""Polygon"",""coordinates"":[[[9345000.0,3010000.0],[9350000.0,3010000.0],[9350000.0,3015000.0],[9345000.0,3015000.0],[9345000.0,3010000.0]]]}"
"00010000000000001803_1870,602",20.113434569309362,Deoria,GRID_000004,0.2723843294599993,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:3857""}},""type"":""Polygon"",""coordinates"":[[[9350000.0,3010000.0],[9355000.0,3010000.0],[9355000.0,3015000.0],[9350000.0,3015000.0],[9350000.0,3010000.0]]]}"
"00010000000000001803_1871,602",20.113434569298157,Deoria,GRID_000005,0.2810951451786667,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:3857""}},""type"":""Polygon"",""coordinates"":[[[9355000.0,3010000.0],[9360000.0,3010000.0],[9360000.0,3015000.0],[9355000.0,3015000.0],[9355000.0,3010000.0]]]}"
"00010000000000001803_1867,603",20.099551830430713,Deoria,GRID_000006,0.26198266461991887,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:3857""}},""type"":""Polygon"",""coordinates"":[[[9335000.0,3015000.0],[9340000.0,3015000.0],[9340000.0,3020000.0],[9335000.0,3020000.0],[9335000.0,3015000.0]]]}"
"00010000000000001803_1868,603",20.09955183043109,Deoria,GRID_000007,0.3541079804594931,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:3857""}},""type"":""Polygon"",""coordinates"":[[[9340000.0,3015000.0],[9345000.0,3015000.0],[9345000.0,3020000.0],[9340000.0,3020000.0],[9340000.0,3015000.0]]]}"
"00010000000000001803_1869,603",20.0995518304359,Deoria,GRID_000008,0.29844400179009045,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:3857""}},""type"":""Polygon"",""coordinates"":[[[9345000.0,3015000.0],[9350000.0,3015000.0],[9350000.0,3020000.0],[9345000.0,3020000.0],[9345000.0,3015000.0]]]}"
"00010000000000001803_1870,603",20.09955183043563,Deoria,GRID_000009,0.3262794129499775,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:3857""}},""type"":""Polygon"",""coordinates"":[[[9350000.0,3015000.0],[9355000.0,3015000.0],[9355000.0,3020000.0],[9350000.0,3020000.0],[9350000.0,3015000.0]]]}"
"00010000000000001803_1871,603",20.09955183042473,Deoria,GRID_000010,0.37619706694183647,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:3857""}},""type"":""Polygon"",""coordinates"":[[[9355000.0,3015000.0],[9360000.0,3015000.0],[9360000.0,3020000.0],[9355000.0,3020000.0],[9355000.0,3015000.0]]]}"
