District,accuracy,n,error_rate
Chandauli,0.9820359281437125,167,0.017964071856287456
Chitrakoot,0.9865470852017937,223,0.013452914798206317
Balrampur,0.9906542056074766,214,0.009345794392523366
Ambedkar Nagar,0.9935897435897436,156,0.0064102564102563875
Badaun,0.9938080495356038,323,0.006191950464396245
Basti,0.9946524064171123,187,0.005347593582887722
Aligarh,0.99581589958159,239,0.004184100418409997
Bijnor,0.9962406015037594,266,0.003759398496240629
Agra,0.996415770609319,279,0.0035842293906810374
Allahabad,0.9969879518072289,332,0.003012048192771122
Baghpat,1.0,89,0.0
Azamgarh,1.0,238,0.0
Banda,1.0,266,0.0
Ballia,1.0,205,0.0
Auraiya,1.0,153,0.0
Bahraich,1.0,289,0.0
Bara Banki,1.0,280,0.0
Bareilly,1.0,230,0.0
Bulandshahr,1.0,218,0.0
Deoria,1.0,175,0.0
