feature,importance
Temperature_mean,0.38989014856283966
Rainfall_mean,0.24916848961032706
SoilMoisture_mean,0.2232948563099278
NDVI_mean,0.14190240723000172
BareLand,0.14013791105695556
TreeCover,0.12182040827238523
Cropland,0.06383510403592588
Grassland,0.025097477036805725
Water,0.010678735915051696
Builtup,0.00966050513906086
Area_km2,0.005665918874336606
District_Aligarh,0.002842787549922632
District_Badaun,0.002408492189874778
Shrubland,0.0022966564267696056
District_Azamgarh,0.002272664643644362
District_Deoria,0.002222846134413903
District_Bahraich,0.002193160653301185
District_Bulandshahr,0.002050572666876893
District_Bara Banki,0.0018819221979871847
District_Banda,0.001850571609942797
