feature,importance
District_Bijnor,0.11323493
District_Badaun,0.0860704
District_Bareilly,0.07472665
District_Bulandshahr,0.06993782
Rainfall_mean,0.06332324
District_Banda,0.06302477
Temperature_mean,0.06285448
District_Bara Banki,0.04812784
District_Aligarh,0.047702678
District_Balrampur,0.047613993
TreeCover,0.0416013
NDVI_mean,0.03760977
District_Auraiya,0.036159642
SoilMoisture_mean,0.029856557
Area_km2,0.029276434
BareLand,0.020900685
District_Bahraich,0.017138867
District_Allahabad,0.014518859
District_Ballia,0.013588108
District_Deoria,0.009829237
